Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-02-06,Paddington 2,2017,https://boxd.it/Dj6LL,4,,Light and fun and mildly nonsensical,,2019-02-03
2019-02-18,Inherent Vice,2014,https://boxd.it/DWbi3,3,,"tough to follow, but enjoyable nonetheless?",,2019-02-17
2019-02-18,Kiss Kiss Bang Bang,2005,https://boxd.it/DXsEH,4,,"Some real weird misogyny at times and some gay jokes that haven't aged well, but on the other hand it's super fun. Reminds me of Psych.",,2019-02-17
2019-02-20,Braven,2018,https://boxd.it/E4feF,3,,"fun fight choreography, not fun acting/writing for some of the parts.",,2019-02-19
2019-02-26,Bloodsport,1988,https://boxd.it/EomZj,2.5,,the fight scenes were exactly what i was hoping for. chong li is a fucking baller ,,2019-02-25
2019-03-07,Layer Cake,2004,https://boxd.it/EPSJV,3.5,Yes,"Fun characters and acting, but the directing seemed all over the place. ",,2019-03-05
2019-03-09,Heat,1995,https://boxd.it/EV6wh,4.5,,"Such a good movie. Fun dialogue, great characters, plot lines that add depth, though some can be too short. Some 90's-ness to the action, but overall a wonderful movie.",,2019-03-07
2019-03-09,Doom,2005,https://boxd.it/EV6Jl,2,,"dumb as hell, more fun when you get to the action section rather than the horror section",,2019-03-07
2019-03-10,The Emperor's New Groove,2000,https://boxd.it/EXWYh,4.5,,"Good art (though extremely Hercules), good music, good fun story",,2019-03-08
2019-03-17,Hell or High Water,2016,https://boxd.it/FmPRN,4.5,,"slow burn, excellent acting, music, writing",,2019-03-15
2019-03-21,Overlord,2018,https://boxd.it/FA8z5,3.5,,"surprisingly good. some weird parts, but fun body-horror and not too scary","body-horror, thriller",2019-03-20
2019-03-22,Destroyer,2018,https://boxd.it/FCWhz,3.5,,"excellent acting, felt like her character could have been explored more, but overall a great story",action,2019-03-21
2019-04-05,Bumblebee,2018,https://boxd.it/GiYvR,1.5,,no good parts. just all bad,,2019-04-04
2019-04-12,The Man from Nowhere,2010,https://boxd.it/GDSaF,3,,"very gorey, very soapy, difficult to follow, but overall pretty good.",,2019-04-11
2019-04-19,Ocean's Twelve,2004,https://boxd.it/GVUQp,2,,somewhat incomprehensible and only somewhat fun. super over the top.,,2019-04-17
2019-04-21,Ocean's Thirteen,2007,https://boxd.it/H2eF9,3,,"Again not as tight as the first, but way more fun than the second",,2019-04-20
2019-05-03,Glass,2019,https://boxd.it/HEePJ,2.5,,"fine, almost smart, then gets dumb, mostly just uninteresting",,2019-05-02
2019-05-13,Shaft,2000,https://boxd.it/I7LXf,1,,"super dumb politically, so much less to say than the original. ",,2019-05-13
2019-05-14,Cold Pursuit,2019,https://boxd.it/IavLj,2,,weirder than the original? but not better?,,2019-05-13
2019-05-17,Serenity,2019,https://boxd.it/IgI1F,1.5,,"utterly ridiculous, and the acting was surprisingly bad. The twist is not as sudden as I expected.",,2019-05-15
2019-05-20,John Wick: Chapter 2,2017,https://boxd.it/Iq9qF,4,Yes,"Still good, still fun, still a bit confused about what it’s trying to say ",,2019-05-18
2019-06-07,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/Jkxmz,3,,"really good acting, really questionable adaptation and story choices",,2019-06-05
2019-06-09,I Am Mother,2019,https://boxd.it/JpCE9,3,,"Fun visuals and design and well-acted, but the story didn't really set up the twists and it's not as smart as it thinks it is.",,2019-06-07
2019-06-14,"Monsters, Inc.",2001,https://boxd.it/JEaWT,4,,"good and cute and looks surprisingly good for a 2001 animated film, but a pretty simple movie in the end",,2019-06-12
2019-06-15,Predestination,2014,https://boxd.it/JIPM9,4,,fun and weird and doesn't make a whole bunch of sense or say much in the end but who cares,,2019-06-14
2019-06-17,Déjà Vu,2006,https://boxd.it/JPnpb,3,,"less smart, thoughtful, or convincing than it thinks it is, still reasonably fun, though.",,2019-06-16
2019-06-30,Idiocracy,2006,https://boxd.it/KpFxp,2.5,,"quite a few more slurs than I remembered... fewer great lines than I remembered, but they exist. not one to recommend to someone who hasn't seen it before.",,2019-06-27
2019-07-08,Ice Age,2002,https://boxd.it/KRoc1,1.5,,"Animation did not age well, and the story didn’t seem to have the Pixar-level second levels. Or maybe I was just too tired 🤷‍♂️",,2019-07-06
2019-07-09,Alita: Battle Angel,2019,https://boxd.it/KTtvB,2,,Felt like they combined a YA story with an actually interesting story and left most of the interesting parts for the sequel. The romance and sport focus felt similar to The Phantom Menace in how they distracted from something that had promise. Oh well.,,2019-07-07
2019-07-10,The Fast and the Furious,2001,https://boxd.it/KWlyD,3,,Just feels so low-budget compared to the sequels. Still fun and ridiculous.,,2019-07-08
2019-07-14,Under the Silver Lake,2018,https://boxd.it/LaDrN,2.5,,"I just didn't get it :( some fun weird parts, but a lot of gross stuff wrt women and homeless etc and the typical hollywood obsession with hollywood that I just don't care about.",,2019-07-13
2019-07-15,The Crow,1994,https://boxd.it/Le5q5,3.5,,lmao,,2019-07-14
2019-07-16,2 Fast 2 Furious,2003,https://boxd.it/Lhm6x,4,,"still some weird effects, but much closer to the current ff feel. Fun and light.",,2019-07-15
2019-07-22,John Carter,2012,https://boxd.it/LzPln,1.5,,"dumb as shit, weird as hell",,2019-07-20
2019-07-22,Indiana Jones and the Last Crusade,1989,https://boxd.it/LA681,4,,"delightful, but you can see spielberg already referncing his own movies repeatedly and showing a little lack of creativity at times.",,2019-07-21
2019-08-01,Pocahontas,1995,https://boxd.it/M7qK1,2.5,,"beautiful, and some great songs, but also ....",,2019-07-31
2019-08-13,Mission: Impossible - Ghost Protocol,2011,https://boxd.it/MK97p,4,Yes,"Really not a fan of Patton in this, but the rest of the acting and action sequences are excellent",,2019-08-12
2019-08-14,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/MMEg7,3.5,,"Other than the lead being an obvious villain in the story, real fun! Honestly everything other than the lead is great.",,2019-08-13
2019-11-14,Rumble in the Bronx,1995,https://boxd.it/RXfbt,3.5,,"the fight sequences are so good, everything else is so bad",,2019-11-13
2019-11-24,Once Upon a Time… in Hollywood,2019,https://boxd.it/SvXD5,3.5,,"I went in to this expecting another annoying movie by a hollywood director about hollywood (Hail Caesar, La La Land, etc) where it's only entertaining if you have a debilitating level of knowledge of hollywood history. It was... a bit better than that? Still very indulgent and impossible to follow if you didn't have that hollywood history, but the acting was excellent and some scenes were exceptional. 

Could have been significantly shorter, would probably have been better as straight fiction telling the same story rather than historical fiction. 

Also the Bruce Lee scene was pretty shitty and unnecessary.",,2019-11-22
2019-11-24,Kingsman: The Golden Circle,2017,https://boxd.it/SwGeJ,1.5,,"Incredibly dumb, with a remarkable lack of fun compared with the previous movie.

Also, I feel weird getting worked up about any specific issue given how many I had, but this movie came out in 2017 and they're constantly talking about marijuana users as criminals who only get marijuana from drug cartels?",,2019-11-23
2019-12-15,6 Underground,2019,https://boxd.it/TQul3,1,,"Incredibly hard to follow, awful writing and the acting doesn't help, just gross and weird story. I'm not sure what's redeeming here?",,2019-12-14
2020-01-05,Sweet Virginia,2017,https://boxd.it/VISxp,3,,"A strange movie: every component seems to be done well, but the final product doesn't really come together in a memorable fashion.",,2020-01-04
2020-01-05,A Serious Man,2009,https://boxd.it/VJy53,3,,"I see the similarity to the book of Job: Competent, at times hilarious, and in the end there just isn't much there other than the presuppositions you bring along.",,2020-01-04
2020-01-08,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/W1rGx,3,,"You can see the basics of a beginning of a good trilogy- the fall of Anakin stemming from being too old and too emotionally attached, the rise of Palpatine and the long machinations he has planned- but my god everything in the execution is just miserable. At least some of the action scenes are enjoyable. Tough to identify the line between bad acting, bad writing, and bad directing, but some combination of the three makes it all seem just goofy.",,2020-01-07
2020-01-08,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/W1sjJ,1.5,,"Anakin and Obiwan's relationship just seems weird: this is our first real introduction, and from the first scene they're bickering. Padmi and Anakin aren't any better- he starts in love, she falls for him despite Anakin remaining a complete ass the entire film. Again, the action scenes are reasonably fun, and again the long-running story arcs make sense on paper, but long stretches of just bad movie.",,2020-01-07
2020-01-09,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/W3dJV,2,,"Similar goofiness to the first two prequels. Anakin's relationship with Obiwan feels less and less healthy, especially when Anakin gets protective of Obiwan despite spending all of Ep. II shitting on him. It makes that movies relationship feel abusive on the part of Obiwan. On the other hand, some of the early scenes between them actually have jokes that land!
The WWII inspired battle moments are very fun to watch and some of the few moments where the battles are visually clear. The rest of the battles are both opaque and go on forever. The lightsaber fight acrobatics continue to be hilariously goofy and unnecessary, especially when the fighter is 60 years old or shitty CGI.
Still somehow fun to watch, but similar to Ep. II in that there are long stretches of boring nothingness.",,2020-01-06
2020-01-09,Honeyland,2019,https://boxd.it/W6XeZ,3,,"Shockingly ugly and bleak, extraordinarily intimate, a very hard film to enjoy.",,2020-01-08
2020-01-13,Little Women,2019,https://boxd.it/WwPeJ,3.5,,"Wonderful story, for the most part wonderful acting (Watson's accent slips at times), wonderful set/costume design and cinematography. 

I hate to nitpick, but there were just too many aspects (editing, writing, overall story choices) that felt slightly off for me to rate it much higher than this. Probably just not my genre, so I won't just list errata.

Overall, enjoyable even with some distracting misses. ",,2020-01-12
2020-01-15,Event Horizon,1997,https://boxd.it/WIdcz,3,,"The jump-scare shit kind of sucks, and the set is a bit more goofy than I remember, but still a fun horror movie with some fun body horror visuals.",,2020-01-14
2020-01-20,Furie,2019,https://boxd.it/Xbael,2.5,,paint by numbers with quality action scenes,,2020-01-19
2020-01-24,The Two Popes,2019,https://boxd.it/XwaH5,4,,"Extremely funny at times, with lots of excellent acting and dialogue and music. Anthony Hopkins might be too endearing for his own good. It's funny to call this hagiographic or preachy, but at times it does go overboard a bit.",,2020-01-23
2020-01-29,1917,2019,https://boxd.it/XXNpX,4,,"Beautiful score, with excellent set pieces and scenery, but some of the cinematography was distracting and at times the movie felt a bit oscar-baity.",,2020-01-28
2020-02-21,Knives Out,2019,https://boxd.it/ZWLAl,4,,"I'm likely just reacting against all the hype here- definitely want to revisit in a year or too.

Very fun, well acted, love the costume/set pieces, but just wasn't as clever as some (either the movie itself or its fans) make it out to be?",,2020-02-19
2020-02-23,Logan Lucky,2017,https://boxd.it/108JGl,4,Yes,Weirder messier Ocean's 11,,2020-02-21
2020-02-23,Jojo Rabbit,2019,https://boxd.it/108Lmx,3.5,,Darkly funny that the only truly evil characters/actions in the movie is when the Americans kill a bunch of unarmed prisoners off-screen. Everyone else seems to get rehabilitated or treated as a joke.,,2020-02-22
2020-03-09,Free Fire,2016,https://boxd.it/11lRSJ,3,,"Entertaining throughout, but at all times it feels like a mediocre copy of better movies. Still, loved Cillian Murphy, and hated the attempts at a Boston accent.",,2020-03-08
2020-03-09,The Score,2001,https://boxd.it/11mtKj,3,,"Simple, entertaining heist movie marred by just a terrible character/performance by Ed Norton.",,2020-03-08
2020-03-20,The Fugitive,1993,https://boxd.it/12d8YP,4,Yes,"The actual story is meh, but the acting is excellent",,2020-03-17
2020-03-27,Dirty Harry,1971,https://boxd.it/12YjhB,3,,"Real strange and simple plot, and the character motivations are... shallow... but also there are some super cool scenes/shots that you just don't normally see in a shitty action movie.",,2020-03-25
2020-04-13,Portrait of a Lady on Fire,2019,https://boxd.it/159mXl,3.5,,"Beautiful, and well acted, but some of the direction was a bit over the top",,2020-04-11
2020-04-13,28 Days Later,2002,https://boxd.it/159njh,2.5,,"Man this hasn't aged well... I understand it's a good B movie, but remember that it still has all the marks of a B movie",,2020-04-10
2020-04-18,Killing Them Softly,2012,https://boxd.it/15NEph,3.5,,"Never quite hits what it's aiming for, but at least it's trying to say something.",,2020-04-17
2020-04-26,Extraction,2020,https://boxd.it/16KeL5,3.5,,"2/3 of a pretty good Man On Fire reboot, but the last 1/3 really goes over the top with the melodrama",,2020-04-25
2020-04-28,The Limey,1999,https://boxd.it/173IDN,3.5,,"Simple yet sometimes over the top, conventional story with a unique edit",,2020-04-27
2020-05-01,Lethal Weapon,1987,https://boxd.it/17lLjH,3.5,,"Enjoyed the first half, then it went off the rails in a typical 80s action movie way.",,2020-04-30
2020-05-02,Frozen II,2019,https://boxd.it/17sE9J,1.5,,"Excellent visuals, but the story was all over the place and the songs were way worse than the first Frozen",,2020-04-30
2020-05-04,Dolemite Is My Name,2019,https://boxd.it/17P1e7,4,,Really gets rolling about a third of the way through,,2020-05-03
2020-05-06,Star Wars: The Rise of Skywalker,2019,https://boxd.it/17Z9ux,2,Yes,"I mean, the action scenes are reasonably fun and the production value is high and it feels like a blockbuster, but the plot is just all over the place and not much of it seems to follow. Just an incredible waste of great acting and decent characters (at least they seemed interesting in the first sequel, nobody really develops into anything interesting).",,2020-05-04
2020-05-11,The Perks of Being a Wallflower,2012,https://boxd.it/18Buxt,1.5,,"Garden State v2, but even harder to believe",,2020-05-09
2020-05-21,Good Time,2017,https://boxd.it/19JgJb,3.5,,"I actually loved the writing and acting and set design and everything, it's just an incredibly uncomfortable character to try to empathize with and follow for two hours. The textures and vibe felt like the end of an MDMA/LSD trip.",,2020-05-19
2020-05-22,Road to Perdition,2002,https://boxd.it/19QqU3,1.5,,"Oscar bait, but the acting was surprisingly bad in addition to hackey writing",,2020-05-20
2020-05-26,Ace Ventura: Pet Detective,1994,https://boxd.it/1anDrT,2.5,,tough to see past all the parts that didn't age well.,,2020-05-24
2020-06-08,Super 8,2011,https://boxd.it/1bKkLv,3,,A Spielberg movie that gets the Michael Bay treatment.,,2020-06-06
2020-06-09,Starship Troopers,1997,https://boxd.it/1bPoIF,4,,"Is it a satire slightly too subtle for my tastes, or a director trying to have it both ways? In either case, a surprisingly fun, funny film who's goofy acting is shielded by the self-mocking tone.",,2020-06-07
2020-07-14,Kedi,2016,https://boxd.it/1fsZSR,5,Yes,Just phenomenally #goodvibes,,2020-07-12
2020-07-23,Knives Out,2019,https://boxd.it/1gpR3f,4,Yes,"still fun, still ham-fisted with the political call-outs",,2020-07-22
2020-07-27,The Old Guard,2020,https://boxd.it/1gQ4Nd,3,,a jumbled mess with decent parts,,2020-07-26
2020-07-28,Salt,2010,https://boxd.it/1gWomD,2,,"corny, but watchable",,2020-07-27
2020-07-29,Hostage,2005,https://boxd.it/1h2wYd,2,,"Just fucking weird. Not into the direction at all, especially at the beginning. Ben Foster went all out tho.",,2020-07-28
2020-07-31,The Saint,1997,https://boxd.it/1heGiP,2,,"Almost competent, excellent henchman, ridiculous love story",,2020-07-30
2020-08-02,Black Sea,2014,https://boxd.it/1hqvyr,4,,Incredibly stressful and well done,,2020-08-01
2020-08-03,The Firm,1993,https://boxd.it/1hyi6b,3,,"Excellent supporting acting from everyone involved, but god-damn the movie climax was so much worse than the book version. No Cruise motorcycle scene??",,2020-08-02
2020-08-09,2012,2009,https://boxd.it/1iaffv,2,,"Goofiest shit imaginable, but Cusack and Harrelson actually go pretty hard.",,2020-08-09
2020-08-10,Gone Girl,2014,https://boxd.it/1ihxJH,4,,"Affleck starts off weak, pretty much everyone else is solid.",,2020-08-09
2020-09-10,Red Dragon,2002,https://boxd.it/1lymHr,2,,"Ed Norton makes Jodie Foster's performance look even better, and the poor casting decisions (Fiennes, Hoffman) who do their best aren't able to overcome it.",,2020-09-09
2020-09-27,Enola Holmes,2020,https://boxd.it/1nhyAL,1,,incredible waste of some good actors,,2020-09-26
2020-10-01,Bastille Day,2016,https://boxd.it/1nFXkr,1,,"A mess: awful dubbing, embarrassingly bad imitations of better movies (Jason Bourse, Catch Me If You Can), and a mess of a script. Was anything fun? No.",,2020-09-30
2020-11-09,Diamonds Are Forever,1971,https://boxd.it/1rYWln,2,,"Embarrassing performances, but a quality soundtrack ngl",,2020-11-08
2020-11-09,Live and Let Die,1973,https://boxd.it/1rZxbf,4,,"The boat chase sucked, but everything else was fun as hell. Absolutely iconic black tactileneck from Roger Moore.",,2020-11-08
2020-11-13,Draft Day,2014,https://boxd.it/1sm1gj,2,,One of the most misogynistic movies I've seen- how did this get made this decade?? Pretty incredible that the NFL thought this made them look good.,,2020-11-12
2020-11-14,Akira,1988,https://boxd.it/1ssfcR,4.5,Yes,"Some parts are dated, but my god the rest of it is excellent",,2020-11-13
2020-11-29,Moonraker,1979,https://boxd.it/1u3uJJ,2,,"enjoyable, ridiculous",,2020-11-28
2020-12-12,The Secret Life of Walter Mitty,2013,https://boxd.it/1vuWQh,2,,"The advertising is kind of overwhelming, but the actual movie wasn't awful.",,2020-12-11
2020-12-14,Ava,2020,https://boxd.it/1vKs29,1,,what a mess,,2020-12-13
2020-12-22,The Mechanic,1972,https://boxd.it/1wG7Dz,1,,"some awful acting (basically everyone but Bronson), and nothing else has aged well enough to cover for it (other than the architecture)",,2020-12-21
2020-12-24,American Gangster,2007,https://boxd.it/1wRWYZ,4,,It's very hard to tell if Denzel or Crowe are 'acting' lol,,2020-12-23
2020-12-26,Tenet,2020,https://boxd.it/1x8bIp,3,,"The dialogue borders on self-parody, but some fun action scenes and it certainly scratches the blockbuster itch.",,2020-12-24
2020-12-29,Soul,2020,https://boxd.it/1xOtkp,2,,"don't get the love, feels like a repeat (thematically) of other pixars done better.",,2020-12-28
